Agongrat	Agonplac	Agonretr	Agonsord	Agonsupe	Amarlitt	Amarluni	Badiobtu	Bembgrap	Bembrupi	Calaadve	Calaingr	Calofrig	Caracham	Dichcogn	Elapamer	Elaplapp	Harpfulv	Loripili	Miscarct	Nebrgyll	Notibore	Notidire	Patrfove	Patrsept	Platdece	Platmann	Pteradst	Pterbrev	Pterhaem	Pterpens	Pterpunc	Pterripa	Seriquad	Synuimpu	Trecapic	Trecchal
0	0	0	0	0	0	0	0	0	0	0.0858369098712446	0.00858369098712446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00858369098712446	0	0.150214592274678	0	0.00429184549356223	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0171673819742489	0	0	0	0	0
0.00383141762452107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0191570881226054	0	0	0	0.00383141762452107	0
0	0	0	0	0	0	0	0	0	0	0.048689138576779	0.00749063670411985	0	0.00749063670411985	0	0	0	0	0	0	0	0	0	0.00374531835205993	0	0.00374531835205993	0	0.0224719101123595	0	0.146067415730337	0	0.0112359550561798	0	0	0	0	0
0	0	0.0574712643678161	0	0	0	0	0	0	0	0.00766283524904215	0.0498084291187739	0	0.00383141762452107	0	0	0	0	0	0	0	0	0	0.0229885057471264	0	0.00383141762452107	0	0.0574712643678161	0.0114942528735632	0.0498084291187739	0	0.00383141762452107	0	0	0	0	0.00383141762452107
0	0	0	0	0	0	0	0	0	0	0.0275229357798165	0.0229357798165138	0	0	0	0	0	0	0	0	0	0	0	0.00458715596330275	0	0.0137614678899083	0	0.036697247706422	0.00917431192660551	0.137614678899083	0	0.00917431192660551	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00757575757575758	0	0	0	0	0	0	0	0	0.0340909090909091	0	0	0	0	0
0.0114942528735632	0	0.00383141762452107	0.00383141762452107	0	0	0	0	0	0	0	0.00383141762452107	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114942528735632	0	0.0153256704980843	0	0.00766283524904215	0	0.0153256704980843	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0.00383141762452107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0153256704980843	0	0.0229885057471264	0	0	0	0	0
0	0.00531914893617021	0.0106382978723404	0	0	0	0	0	0	0	0	0.00531914893617021	0	0	0	0	0	0	0	0	0	0	0	0.00531914893617021	0	0.0106382978723404	0	0.0319148936170213	0	0.0106382978723404	0.00531914893617021	0	0.00531914893617021	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0.0344827586206897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00766283524904215	0.00383141762452107	0.0344827586206897	0	0.0114942528735632	0	0	0	0	0.00383141762452107
0.00749063670411985	0	0.00374531835205993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00374531835205993	0	0	0	0	0	0	0.00374531835205993	0
0	0	0	0	0	0	0	0	0	0	0.0224719101123595	0.00374531835205993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0299625468164794	0.048689138576779	0	0.00374531835205993	0	0	0	0	0
0	0	0.00403225806451613	0	0	0	0	0	0	0	0.032258064516129	0.0161290322580645	0	0.0120967741935484	0	0	0	0	0	0	0	0	0	0.0120967741935484	0	0.0161290322580645	0	0.0161290322580645	0.032258064516129	0.0645161290322581	0	0	0	0	0	0.00806451612903226	0
0	0	0.00757575757575758	0	0	0	0	0	0	0	0.00757575757575758	0.0227272727272727	0	0.0189393939393939	0	0	0	0	0	0	0	0	0	0.00378787878787879	0	0.0227272727272727	0	0.0833333333333333	0.00378787878787879	0.053030303030303	0	0	0	0	0	0	0
